cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count,mean_elevation_m,mean_slope_deg
NGA_5km_038295,14.30333758528306,12.373962632356651,0.0001689825490313,0.0051011606988836,0.847535495136471,0.0359510373064181,0.0010420590523599,0.0161378334324932,0.0,0.0032036274920525,0.0908598043322901,0.0,0.0,1.0,284053,287.48095100308643,0.0548591378294391
NGA_5km_007840,5.365100508293824,8.620737933763833,0.1265528896190917,0.5121359476760173,0.2273510461663771,0.1338382871483917,2.784671774218813e-05,9.398267237988492e-05,0.0,0.0,0.0,0.0,0.0,1.0,287287,192.7032576195988,1.5084894439320506
NGA_5km_014131,6.712573434473107,7.286258099677667,0.499596978730205,0.1409532147894908,0.1185646883881233,0.0749793277883165,0.0022444115542028,0.0070771924704508,0.0,0.1398310090123894,0.0167531772668209,0.0,0.0,1.0,287826,55.30335350285948,1.3935091105941075
NGA_5km_006000,4.915942866234063,9.90627931874005,0.829711853924929,0.1458304944987753,0.0038782847499554,0.0199853952880587,0.0,0.0005939715382814,0.0,0.0,0.0,0.0,0.0,1.0,286209,221.94750816993465,0.97754694122115
NGA_5km_007780,5.365100508293824,5.947792526858651,0.5655759510508114,0.0,8.291788020439257e-05,0.0,0.0,0.0,0.0,0.2168820804096143,0.0004836876345256,0.2169753630248442,0.0,1.0,289443,7.986451791002859,0.4039860644371681
NGA_5km_037639,13.674516886399395,12.768512417698735,0.0001410865071918,0.0014672996747956,0.9934676947170158,0.0033225872443688,0.0006631065838018,0.0004761669617726,0.0,0.0,0.0004620583110534,0.0,0.0,1.0,283514,285.99320023148147,0.0662171870102117
NGA_5km_023692,8.913445880565934,9.552121820257485,0.0063659773102872,0.1082181203246578,0.4579066346620826,0.2919265292146648,0.0953813471973278,0.0183991418858246,0.0,0.0210370743058394,0.0007651750993155,0.0,0.0,1.0,286209,1295.4584297839506,1.747643364800347
NGA_5km_008725,5.544763565117727,11.495074199239022,0.0001194692753134,0.0445058188564682,0.1021392027885534,0.8507899027379547,0.0010154888401641,0.001430117501546,0.0,0.0,0.0,0.0,0.0,1.0,284592,387.3926986882716,0.5931388007269965
NGA_5km_009976,5.814258150353584,10.657579726196673,0.0081457625932019,0.0625231910946196,0.3380228935485,0.5905065285119193,0.0007946231665908,7.001085168201071e-06,0.0,0.0,0.0,0.0,0.0,1.0,285670,410.55741932189545,0.7895950616574755
NGA_5km_012284,6.308331556619321,9.020198264315193,0.0416238813451357,0.114683226181484,0.0574547403815696,0.624504415445182,0.1524886263562221,0.0092451102904064,0.0,0.0,0.0,0.0,0.0,1.0,287287,109.84002246732028,1.1437993267782374
NGA_5km_037207,13.40502230116354,13.51208160164355,0.0362524607344672,0.0617060148139755,0.7746958603010947,0.0001487062555764,0.0,0.0011259187922219,0.0,0.0003823875143395,0.1256886515883244,0.0,0.0,1.0,282436,278.30888310185185,0.1503507355113088
NGA_5km_026231,9.677013872067526,8.798329168372588,0.0066190522688911,0.0119512603400895,0.0365198711063372,0.83616973788832,0.1073137388926862,0.0014228521210261,0.0,3.487382649573842e-06,0.0,0.0,0.0,1.0,286748,181.21864149305557,0.7761430622618876
NGA_5km_030089,10.844823741422903,12.943671604480109,3.527162679797117e-06,0.0071107599624709,0.6334360913394047,0.3489668940510874,0.0048957017995583,0.0048181042206028,0.0,0.0,0.0007689214641957,0.0,0.0,1.0,283514,338.4112172067901,0.0550028483072916
NGA_5km_015388,6.982068019708962,9.950522422478205,0.0563644050326859,0.3870772756971304,0.167192506175557,0.3885971440450859,0.0005765017871555,0.0001921672623851,0.0,0.0,0.0,0.0,0.0,1.0,286209,410.74463848039215,1.2142095628127554
NGA_5km_013369,6.532910377649202,10.260054920261808,0.8721144338577753,0.1221450059222456,0.0057405602199791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286209,372.4129533179012,1.5311129534686054
NGA_5km_005662,4.826111337822111,10.657579726196673,0.0321139776665383,0.3294115587916127,0.1695522806034935,0.4680610494626667,0.0004515699933489,0.0004095634823397,0.0,0.0,0.0,0.0,0.0,1.0,285670,189.14213133169932,0.9587644689223346
NGA_5km_035284,12.551622781249996,11.186803301758893,0.0316275676794175,0.46914225391136,0.4986409755515886,0.0001613293538759,0.0,0.0004278735037579,0.0,0.0,0.0,0.0,0.0,1.0,285131,430.89260223765433,0.6533492759422019
NGA_5km_027731,10.126171514127288,11.803008168103036,0.0001475796930342,0.0030499803227075,0.0525699949401248,0.9418008939112836,0.0002178557373362,0.0022136953955135,0.0,0.0,0.0,0.0,0.0,1.0,284592,383.8583622685185,0.2347735181266879
NGA_5km_029159,10.575329156187047,10.480964932610974,0.0005460846431196,0.5381454125389435,0.0997549620191129,0.3611649805719886,0.0002415374383029,0.0001470227885322,0.0,0.0,0.0,0.0,0.0,1.0,285670,440.4740547839506,0.7121653615692516
NGA_5km_010353,5.904089678765536,8.443063207963188,0.3388875932429939,0.4673270979891189,0.106844375137058,0.0868852401953447,3.4808397177735155e-05,2.0885038306641094e-05,0.0,0.0,0.0,0.0,0.0,1.0,287287,219.33391203703704,1.2923563262562694
NGA_5km_002980,4.107459110526493,10.789973715203375,0.1020267876870631,0.3598100522216104,0.2451329388947536,0.2911328477085971,0.0013046634704749,0.0005927100175007,0.0,0.0,0.0,0.0,0.0,1.0,285131,262.2474681712963,1.1199843795211226
NGA_5km_018988,7.790551775416532,12.06667694535256,1.0561409314458922e-05,0.0151063357894477,0.191781111271488,0.7916550784536689,0.00113711173619,0.0003098013398907,0.0,0.0,0.0,0.0,0.0,1.0,284053,604.091049382716,0.6367419207537616
