cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count
NGA_5km_018025,7.610888718592628,4.6955973565224465,0.5803698828439451,0.0007255314517884351,0.39348680050994495,0.0015996241056097401,0.023738698120182557,3.4549116751830238e-06,0.0,0.0,7.600805685402653e-05,0.0,0.0,1.0,289443
NGA_5km_003502,4.242206403144421,12.549392851924994,0.0016119133446672828,0.0027970400050791144,0.2016831620307992,0.7780462340484068,0.014546018891483313,3.5271626797971174e-06,0.0,0.0,0.0013121045168845277,0.0,0.0,1.0,283514
NGA_5km_000273,2.89473347696514,8.75393927820405,0.16720909752268637,0.6429110958727684,0.07505734683435032,0.10579316154229046,0.009029298227904499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_025742,9.497350815243623,12.593231798257289,0.0,0.0014884626508743835,0.06340780349471278,0.9313508327631087,0.0032802612922113194,0.00047263979909281374,0.0,0.0,0.0,0.0,0.0,1.0,283514
NGA_5km_032912,11.69822326133645,8.57632701444211,0.8661129810955595,0.09348143146052554,0.02584175406475058,0.014563833379164389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,287287
NGA_5km_000879,3.2989753548189245,9.507825934149325,0.2052080572488736,0.4592011103826356,0.0475678993401872,0.28756259851855986,0.0004603345097437471,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,286748
NGA_5km_036725,13.18044348013366,11.31896010899377,0.022442315988089684,0.5078227200830495,0.4674167312568609,0.0022761467535974693,0.0,3.8578758535550326e-05,0.0,0.0,3.5071598668682113e-06,0.0,0.0,0.9999999999999999,285131
NGA_5km_004630,4.556616752586254,11.05458618220807,0.012541603683920724,0.35834756655712635,0.11742672666248145,0.4973468335607142,0.0005506240990983092,0.0018693162090407567,0.0,0.011889271948683236,2.805727893494569e-05,0.0,0.0,1.0,285131
NGA_5km_012035,6.263415792413345,7.419897240608876,0.6392299514289883,0.17750307477434282,0.11938115389158728,0.010065108780999631,0.05359488024014509,0.00022583088393682293,0.0,0.0,0.0,0.0,0.0,1.0,287826
NGA_5km_011060,6.038836971383464,11.362998858574883,0.0001932591218305504,0.02458256029684601,0.11940602687355933,0.8541280148423006,0.001556614381289706,0.00013352448417383483,0.0,0.0,0.0,0.0,0.0,1.0,284592
