cell_id,mean_slope_deg
NGA_5km_034557,0.1886392993691527
NGA_5km_034558,0.18234528435601127
NGA_5km_034559,0.18197365749029465
NGA_5km_034560,0.14822773874541859
NGA_5km_034561,0.14395363502253114
NGA_5km_034562,0.27108008773238573
NGA_5km_034563,0.2915933868031443
NGA_5km_034564,0.16087295390941478
NGA_5km_034565,0.25990196510597513
NGA_5km_034566,0.3875120421986521
NGA_5km_034567,0.5046161133566021
NGA_5km_034568,0.5173284271616995
NGA_5km_034569,0.18879112542844287
NGA_5km_034570,0.07807131166811343
NGA_5km_034571,0.10073108437620563
NGA_5km_034572,0.1443769195933401
NGA_5km_034573,0.1864285410186391
NGA_5km_034574,0.15378034850697458
NGA_5km_034575,0.12177001105414496
NGA_5km_034576,0.10614003698810254
NGA_5km_034577,0.07749724682466483
NGA_5km_034578,0.20514716631100502
NGA_5km_034579,0.1765001791494864
NGA_5km_034580,14.958716121720679
NGA_5km_034581,2.935525776427469
NGA_5km_034582,0.9130915889033565
NGA_5km_034583,0.8911169546621817
NGA_5km_034584,0.886640007113233
NGA_5km_034585,1.0294967462987075
NGA_5km_034586,1.1658542608123978
NGA_5km_034587,1.2687966617537134
NGA_5km_034588,1.4178758786048418
NGA_5km_034589,1.4937865645797164
NGA_5km_034590,1.3252004929530767
NGA_5km_034591,1.2128445660626446
NGA_5km_034592,1.5014476069697626
NGA_5km_034593,1.5039885277841605
NGA_5km_034594,1.012714715651524
NGA_5km_034595,2.8044586181640625
NGA_5km_034596,6.179249704619984
NGA_5km_034597,1.3900540198808835
NGA_5km_034598,0.8468251169463734
NGA_5km_034599,0.6209901409384645
NGA_5km_034600,0.5038783697434414
NGA_5km_034601,0.36780570535098805
NGA_5km_034602,0.20134874037754388
NGA_5km_034603,0.36747110625843943
NGA_5km_034604,0.2298638614607446
NGA_5km_034605,0.15718613141848717
NGA_5km_034606,0.5512330796983507
NGA_5km_034607,2.660414895893615
NGA_5km_034608,2.6815536598754086
NGA_5km_034609,0.977193667564863
NGA_5km_034610,2.4998664385006752
NGA_5km_034611,4.562328197337963
NGA_5km_034612,2.7087586956259644
NGA_5km_034613,2.547631534529321
NGA_5km_034614,3.3513688452449846
NGA_5km_034615,2.277012389383198
NGA_5km_034616,1.9085793090022467
NGA_5km_034617,1.9534569257571373
NGA_5km_034618,1.1700880262586806
NGA_5km_034619,1.6176160647545332
NGA_5km_034620,1.2706814047730999
NGA_5km_034621,1.184770748939043
NGA_5km_034622,1.9263283058449074
NGA_5km_034623,2.394844337745949
NGA_5km_034624,4.364639980341095
NGA_5km_034625,3.221360194830247
NGA_5km_034626,8.237490053530093
NGA_5km_034627,5.551612006293403
NGA_5km_034628,3.0665345368561923
NGA_5km_034629,2.201563705632716
NGA_5km_034630,2.643908088589892
NGA_5km_034631,2.8852584938597836
NGA_5km_034632,0.8786706806700907
NGA_5km_034633,0.495269775390625
NGA_5km_034634,0.5225311090916763
NGA_5km_034635,0.37901873647430795
NGA_5km_034636,0.33508837664568863
NGA_5km_034637,0.2047275025167583
NGA_5km_034638,0.15604942227587287
NGA_5km_034639,0.1607260111889808
NGA_5km_034640,0.1842885782689224
NGA_5km_034641,0.4435594817738474
NGA_5km_034642,0.5442240208755305
